Index,Marketing.expense,Production.expense,Multiplex.coverage,Budget,Movie_length,Lead_.Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,X3D_available,Time_taken,Twitter_hastags,Genre,Avg_age_actors,Num_multiplex,Collection,Start_Tech_Oscar,Marketing.expense_mms,Production.expense_mms,Multiplex.coverage_mms,Budget_mms,Movie_length_mms,Lead_.Actor_Rating_mms,Lead_Actress_rating_mms,Director_rating_mms,Producer_rating_mms,Critic_rating_mms,Trailer_views_mms,X3D_available_mms,Time_taken_mms,Twitter_hastags_mms,Genre_mms,Avg_age_actors_mms,Num_multiplex_mms,Collection_mms,Start_Tech_Oscar_mms
1,20.1264,59.62,0.462,36524.125,138.7,7.825,8.095,7.91,7.995,7.94,527367,1,109.6,223.84,1,23,494,48000,1,0,0.067815249,0.685185185,0.577505269,0.641606591,0.712243074,0.737511353,0.72873769,0.707404103,0.478571429,0.886108231,1,0.503861714,0.012457392,0,0.350877193,0.300934579,0.422222222,1
2,20.5462,69.14,0.531,35668.655,152.4,7.505,7.65,7.44,7.47,7.44,494055,0,146.64,243.456,2,42,462,43200,0,0.000235923,0.242302053,0.827160494,0.547997701,0.782698249,0.655049151,0.656675749,0.644583706,0.613737734,0.3,0.792237765,0,0.674144906,0.023228028,0.333333333,0.684210526,0.241121495,0.368888889,0
3,20.5458,69.14,0.531,39912.675,134.6,7.485,7.57,7.495,7.515,7.44,547051,0,147.88,2022.4,3,38,458,69400,1,0.000235698,0.242302053,0.827160494,0.694385898,0.59938208,0.651474531,0.642143506,0.654431513,0.62176628,0.3,0.941576118,0,0.679845531,1,0.666666667,0.614035088,0.23364486,0.66,1
4,20.6474,59.36,0.542,38873.89,119.3,6.895,7.035,6.92,7.02,8.26,516279,1,185.36,225.344,2,45,472,66800,1,0.000292796,0.063049853,0.849794239,0.658555279,0.441812564,0.546023235,0.544959128,0.551477171,0.533452275,0.592857143,0.854863162,1,0.852151526,0.013283199,0.333333333,0.736842105,0.259813084,0.631111111,1
5,21.381,59.36,0.542,39701.585,127.7,6.92,7.07,6.815,7.07,8.26,531448,0,176.48,225.792,2,55,395,72400,1,0.00070507,0.063049853,0.849794239,0.687104809,0.528321318,0.55049151,0.551316985,0.532676813,0.542372881,0.592857143,0.897608152,0,0.811327694,0.013529184,0.333333333,0.912280702,0.11588785,0.693333333,1
6,20.597,59.36,0.542,35718.65,132.2,6.89,7.1,6.885,7.005,7.26,498425,1,143.48,284.592,3,53,460,57400,0,0.000264472,0.063049853,0.849794239,0.549722169,0.574665294,0.54512958,0.556766576,0.545210385,0.530776093,0.235714286,0.804552064,1,0.659617506,0.045814738,0.666666667,0.877192982,0.237383178,0.526666667,0
7,21.7658,70.74,0.476,33396.66,140.1,7.065,7.265,7.15,7.4,8.96,459241,1,139.16,243.664,1,41,522,45800,0,0.000921323,0.271627566,0.71399177,0.469630197,0.656024717,0.576407507,0.586739328,0.592658908,0.601248885,0.842857143,0.694134787,1,0.639757264,0.023342236,0,0.666666667,0.353271028,0.397777778,0
8,22.891,70.74,0.476,34285.46,169.6,6.98,7.075,6.875,7.17,7.96,400821,0,116.84,243.536,2,56,571,44200,0,0.001553672,0.271627566,0.71399177,0.500287411,0.959835221,0.561215371,0.55222525,0.543419875,0.560214095,0.485714286,0.529512049,0,0.53714601,0.023271954,0.333333333,0.929824561,0.444859813,0.38,0
9,24.2248,70.74,0.476,31280.205,173.5,6.91,7.075,6.85,7,7.96,295168,1,118.6,242.64,3,55,564,33000,1,0.002303251,0.271627566,0.71399177,0.396627706,1,0.5487042,0.55222525,0.538943599,0.529884032,0.485714286,0.231790617,1,0.54523722,0.022779984,0.666666667,0.912280702,0.431775701,0.255555556,1
10,23.4008,70.74,0.476,33352.22,159.4,6.665,6.725,6.575,6.855,7.96,412012,1,189.56,283.024,1,45,508,37800,1,0.001840173,0.271627566,0.71399177,0.468097337,0.854788877,0.504915103,0.488646685,0.489704566,0.504014273,0.485714286,0.561047364,1,0.871460096,0.04495379,0,0.736842105,0.327102804,0.308888889,1
11,24.4978,70.74,0.476,35424.235,167.8,6.675,6.845,6.725,7.06,8.96,369595,0,120,222.4,2,29,578,30000,0,0.002456674,0.271627566,0.71399177,0.539566967,0.941297631,0.506702413,0.51044505,0.51656222,0.54058876,0.842857143,0.441519759,0,0.551673409,0.011666725,0.333333333,0.456140351,0.457943925,0.222222222,0
12,22.3494,70.74,0.476,33379.995,156.4,6.865,7.035,6.745,6.905,8.96,451646,0,185.56,263.024,4,23,553,37800,0,0.001249299,0.271627566,0.71399177,0.469055375,0.823892894,0.540661305,0.544959128,0.520143241,0.51293488,0.842857143,0.672732704,0,0.853070982,0.033972309,1,0.350877193,0.411214953,0.308888889,0
13,21.8756,70.74,0.476,32713.395,112.5,7.12,7.43,7.21,7.335,8.96,407557,1,110.68,203.472,4,57,575,43400,0,0.000983029,0.271627566,0.71399177,0.446062464,0.371781668,0.586237712,0.61671208,0.60340197,0.589652096,0.842857143,0.548493541,1,0.508826775,0.001273852,1,0.947368421,0.452336449,0.371111111,0
14,32.5952,71.28,0.462,33046.695,135.3,7.64,7.705,7.535,7.705,6.8,472490,1,118.16,283.264,3,39,535,40800,1,0.007007315,0.281524927,0.685185185,0.457558919,0.606591143,0.679177837,0.666666667,0.661593554,0.655664585,0.071428571,0.731469375,1,0.543214417,0.045085568,0.666666667,0.631578947,0.377570093,0.342222222,1
15,32.7592,71.28,0.462,33863.28,158,7.7,7.9,7.76,7.71,7.8,495311,0,139.28,262.912,3,49,599,36400,1,0.007099481,0.281524927,0.685185185,0.485725235,0.840370752,0.689901698,0.70208901,0.701880036,0.656556646,0.428571429,0.795777069,0,0.640308937,0.033910813,0.666666667,0.807017544,0.497196262,0.293333333,1
16,32.5478,71.28,0.462,32407.87,130,7.7,7.825,7.64,7.84,6.8,497626,1,169.96,283.184,1,28,598,39800,1,0.006980677,0.281524927,0.685185185,0.435524047,0.552008239,0.689901698,0.688465032,0.680393912,0.679750223,0.071428571,0.802300548,1,0.781353439,0.045041642,0,0.438596491,0.495327103,0.331111111,1
17,41.0786,71.28,0.462,32968.925,102.8,7.67,7.805,7.74,7.785,7.8,532331,0,109.24,203.696,3,46,547,46200,1,0.011774884,0.281524927,0.685185185,0.454876413,0.271884655,0.684539768,0.684831971,0.698299015,0.669937556,0.428571429,0.900096373,0,0.502206694,0.001396844,0.666666667,0.754385965,0.4,0.402222222,1
18,35.684,71.28,0.462,33274.45,155.2,7.72,7.925,7.82,8.015,6.8,431225,0,109,222.8,2,56,548,35000,0,0.008743184,0.281524927,0.685185185,0.46541483,0.811534501,0.693476318,0.706630336,0.712623098,0.710972346,0.071428571,0.615188011,0,0.501103347,0.011886355,0.333333333,0.929824561,0.401869159,0.277777778,0
19,36.0542,71.28,0.462,30308.08,110.1,8.1,8.24,8.07,8,6.8,448317,1,170.08,243.232,4,41,543,40400,1,0.008951232,0.281524927,0.685185185,0.363096379,0.347064882,0.761394102,0.763851045,0.757385855,0.708296164,0.071428571,0.663351856,1,0.781905112,0.023105036,1,0.666666667,0.392523364,0.337777778,1
20,34.516,71.28,0.462,31813.485,143,8.01,8.175,8,8.215,7.8,463328,0,171.28,242.912,4,27,578,36400,0,0.008086782,0.281524927,0.685185185,0.415022035,0.685890834,0.745308311,0.752043597,0.744852283,0.746654773,0.428571429,0.705651615,0,0.787421846,0.022929332,1,0.421052632,0.457943925,0.293333333,0
22,37.0408,71.28,0.462,33135.575,162.7,7.945,8.14,7.83,8.06,7.8,457361,1,183.84,283.136,3,23,541,39200,1,0.009505689,0.281524927,0.685185185,0.460624641,0.888774459,0.733690795,0.74568574,0.714413608,0.719000892,0.428571429,0.688837102,1,0.845163663,0.045015286,0.666666667,0.350877193,0.388785047,0.324444444,1
23,44.6494,71.28,0.462,34118.81,165.2,7.91,8.01,7.845,8.275,6.8,387496,1,116.08,282.432,1,48,575,30400,0,0.01378163,0.281524927,0.685185185,0.494539184,0.914521112,0.72743521,0.722070845,0.717099373,0.7573595,0.071428571,0.491963299,1,0.533652078,0.044628738,0,0.789473684,0.452336449,0.226666667,0
24,39.7686,71.28,0.462,32291.215,173.5,7.825,8.01,7.935,8.04,7.8,365213,1,149.8,262.32,2,29,527,29000,1,0.01103868,0.281524927,0.685185185,0.431500287,1,0.712243074,0.722070845,0.733213966,0.715432649,0.428571429,0.429171645,1,0.688672306,0.033585761,0.333333333,0.456140351,0.362616822,0.211111111,1
25,35.0052,71.28,0.462,32907.82,167.6,7.655,7.965,7.64,7.94,7.8,414145,1,164.24,262.496,2,27,502,31200,0,0.008361706,0.281524927,0.685185185,0.45276873,0.939237899,0.681858803,0.713896458,0.680393912,0.697591436,0.428571429,0.567057981,1,0.755057006,0.033682398,0.333333333,0.421052632,0.31588785,0.235555556,0
26,36.8108,71.28,0.462,31102.445,159.2,7.655,7.835,7.64,7.96,7.8,422375,1,187.56,262.224,1,35,516,27800,1,0.009376432,0.281524927,0.685185185,0.390496264,0.852729145,0.681858803,0.690281562,0.680393912,0.701159679,0.428571429,0.590249442,1,0.862265539,0.03353305,0,0.561403509,0.342056075,0.197777778,1
27,33.4382,71.28,0.462,32291.215,163.8,7.53,7.705,7.645,7.755,6.8,436807,0,194.64,242.656,2,59,476,33200,0,0.007481071,0.281524927,0.685185185,0.431500287,0.900102987,0.659517426,0.666666667,0.681289167,0.664585192,0.071428571,0.630917627,0,0.89481427,0.022788769,0.333333333,0.98245614,0.26728972,0.257777778,0
28,39.1154,71.28,0.462,33591.085,162.3,7.75,7.8,7.7,7.845,6.8,406866,1,173.92,262.368,2,20,488,29600,0,0.010671589,0.281524927,0.685185185,0.476336463,0.884654995,0.698838248,0.683923706,0.691136974,0.680642284,0.071428571,0.54654636,1,0.799558661,0.033612117,0.333333333,0.298245614,0.289719626,0.217777778,0
29,35.4598,71.28,0.462,36079.725,167.9,7.715,7.825,7.655,7.895,7.8,455480,1,119.36,302.944,1,35,544,36800,0,0.008617186,0.281524927,0.685185185,0.562176662,0.942327497,0.692582663,0.688465032,0.683079678,0.68956289,0.428571429,0.683536599,1,0.548731151,0.055891345,0,0.561403509,0.394392523,0.297777778,0
30,40.049,71.28,0.462,37074.07,160.8,7.735,8.03,7.82,7.935,6.8,466851,0,180.4,243.36,1,50,488,42000,1,0.011196261,0.281524927,0.685185185,0.59647442,0.869207003,0.696157283,0.725703906,0.712623098,0.696699376,0.071428571,0.715579138,0,0.829349025,0.023175317,0,0.824561404,0.289719626,0.355555556,1
31,42.6162,71.28,0.462,31735.715,167.6,7.74,7.91,7.815,8.07,6.8,350102,0,197.08,242.032,2,34,586,25400,1,0.012638996,0.281524927,0.685185185,0.412339529,0.939237899,0.697050938,0.70390554,0.711727842,0.720785013,0.071428571,0.386590094,0,0.906031629,0.022446147,0.333333333,0.543859649,0.472897196,0.171111111,1
32,47.0944,71.28,0.462,33729.96,173.5,7.805,7.97,7.76,8.115,6.8,436306,1,185.8,242.32,3,23,523,29000,0,0.015155691,0.281524927,0.685185185,0.481126653,1,0.708668454,0.714804723,0.701880036,0.728813559,0.071428571,0.62950585,1,0.854174329,0.02260428,0.666666667,0.350877193,0.355140187,0.211111111,0
33,47.7598,71.28,0.462,33052.25,155.5,7.995,8.07,7.845,8.105,7.8,299587,0,175.28,282.112,1,25,533,26400,1,0.015529638,0.281524927,0.685185185,0.457750527,0.814624099,0.742627346,0.732970027,0.717099373,0.727029438,0.428571429,0.244242995,0,0.80581096,0.044453034,0,0.385964912,0.373831776,0.182222222,1
34,43.0344,71.28,0.462,31669.055,168.5,8.1,8.165,8.02,8.14,7.8,394967,1,167.24,302.096,3,25,571,26200,0,0.01287402,0.281524927,0.685185185,0.410040238,0.948506694,0.761394102,0.750227066,0.748433303,0.733273863,0.428571429,0.513015961,1,0.768848841,0.05542573,0.666666667,0.385964912,0.444859813,0.18,0
35,52.2564,71.28,0.462,33863.28,170.4,7.965,8.17,8.065,8.28,6.8,377048,1,193.4,222.16,3,40,497,27000,1,0.018056673,0.281524927,0.685185185,0.485725235,0.96807415,0.737265416,0.751135332,0.7564906,0.758251561,0.071428571,0.462521698,1,0.889113645,0.011534947,0.666666667,0.649122807,0.306542056,0.188888889,1
36,21.2834,66.92,0.501,32957.815,141.7,8.155,8.365,8.23,8.53,7.16,475977,1,189.56,223.024,1,43,530,37800,0,0.00065022,0.201612903,0.765432099,0.454493198,0.672502575,0.771224307,0.786557675,0.78603402,0.802854594,0.2,0.741295453,1,0.871460096,0.012009347,0,0.701754386,0.368224299,0.308888889,0
37,21.9488,66.92,0.501,32446.755,134.9,8.305,8.36,8.19,8.39,8.16,474433,0,150,303.2,3,39,454,40000,1,0.001024167,0.201612903,0.765432099,0.4368653,0.602471679,0.798033959,0.78564941,0.778871979,0.777876896,0.557142857,0.736944588,0,0.689591762,0.056031908,0.666666667,0.631578947,0.226168224,0.333333333,1
38,21.6028,66.92,0.501,32496.75,115,8.01,8.125,7.94,8.055,7.16,482433,1,162.4,203.36,1,21,510,42000,1,0.000829719,0.201612903,0.765432099,0.438589768,0.397528321,0.745308311,0.742960945,0.734109221,0.718108831,0.2,0.759487928,1,0.746598014,0.001212355,0,0.315789474,0.330841121,0.355555556,1
39,23.501,66.92,0.501,33141.13,103.7,7.925,8.17,7.98,8.23,7.16,498052,1,163.68,203.872,1,21,484,48400,0,0.001896485,0.201612903,0.765432099,0.460816248,0.28115345,0.730116175,0.751135332,0.741271262,0.749330955,0.2,0.803500981,1,0.75248253,0.001493481,0,0.315789474,0.282242991,0.426666667,0
40,20.5526,60.9,0.572,36635.225,95.3,7.175,7.325,7.225,7.475,8.34,553070,1,138.32,244.928,1,49,451,61600,0,0.000239519,0.09127566,0.911522634,0.581337421,0.194644696,0.596067918,0.59763851,0.606087735,0.614629795,0.621428571,0.958537163,1,0.63589555,0.024036265,0,0.807017544,0.220560748,0.573333333,0
41,20.6718,60.9,0.572,39018.32,89.3,7.185,7.345,7.235,7.43,8.34,567784,1,123.96,305.584,1,20,428,69800,0,0.000306508,0.09127566,0.911522634,0.663537076,0.132852729,0.597855228,0.601271571,0.607878245,0.606601249,0.621428571,1,1,0.569878632,0.0573409,0,0.298245614,0.177570093,0.664444444,0
42,22.5488,68.82,0.552,37607.35,76.4,7.115,7.14,7,7.3,7.42,512492,0,154.64,264.256,4,30,495,53200,0,0.00136136,0.23643695,0.87037037,0.614868749,0,0.585344057,0.564032698,0.565801253,0.583407672,0.292857143,0.844191709,0,0.710923134,0.034648768,1,0.473684211,0.302803738,0.48,0
43,22.83,68.82,0.552,34268.795,80.1,7.035,7.27,7.06,7.19,7.42,526836,0,162.12,304.048,1,52,419,50600,0,0.001519391,0.23643695,0.87037037,0.499712589,0.038105046,0.571045576,0.587647593,0.576544315,0.563782337,0.292857143,0.884611916,0,0.745310776,0.056497523,0,0.859649123,0.160747664,0.451111111,0
44,23.1872,68.82,0.552,34502.105,80,6.98,7.17,7.08,7.33,8.42,473146,1,121.88,303.952,1,56,449,49400,0,0.001720133,0.23643695,0.87037037,0.507760107,0.03707518,0.561215371,0.569482289,0.580125336,0.588760036,0.65,0.733317929,1,0.560316293,0.056444811,0,0.929824561,0.21682243,0.437777778,0
45,22.4538,68.82,0.552,33713.295,113.5,7.095,7.245,7.05,7.165,8.42,471960,0,180.48,243.392,1,53,400,42400,1,0.001307971,0.23643695,0.87037037,0.48055183,0.38208033,0.581769437,0.583106267,0.574753805,0.559322034,0.65,0.729975879,0,0.829716808,0.023192888,0,0.877192982,0.125233645,0.36,1
